#node1,node2,combined_score
ABCA3,NR3C1,0.471
ABCA3,ABCC4,0.598
ABCB1,ERCC1,0.515
ABCB1,APEX1,0.423
ABCB1,MMP2,0.42
ABCB1,CYP3A5,0.92
ABCB1,NFKB1,0.43
ABCB1,NR3C1,0.558
ABCB1,KRAS,0.504
ABCB1,SLCO1B1,0.883
ABCB1,MDM2,0.472
ABCB1,STAT3,0.8
ABCB1,TP53,0.617
ABCB1,KIT,0.451
ABCB1,UGT1A1,0.683
ABCB1,SLC19A1,0.552
ABCB1,CD34,0.42
ABCB1,GSTM1,0.674
ABCB1,TPMT,0.518
ABCB1,TYMS,0.548
ABCB1,MET,0.412
ABCB1,MTOR,0.476
ABCB1,PTGS2,0.41
ABCB1,XIAP,0.432
ABCB1,PTEN,0.521
ABCB1,MMP9,0.46
ABCB1,ABL1,0.524
ABCB1,MTHFR,0.545
ABCB1,CYP1A1,0.587
ABCB1,GSTP1,0.595
ABCB1,ABCC1,0.589
ABCB1,IL6,0.443
ABCB1,DHFR,0.486
ABCB1,TNF,0.433
ABCB1,TOP2A,0.417
ABCB1,BRAF,0.435
ABCB1,PROM1,0.584
ABCB1,CYP2E1,0.648
ABCB1,AKT1,0.616
ABCB1,NOTCH1,0.419
ABCB1,EPHX1,0.423
ABCB1,ABCG2,0.549
ABCB1,ABCC4,0.558
ABCC1,ERCC1,0.421
ABCC1,CYP3A5,0.511
ABCC1,KRAS,0.477
ABCC1,SLCO1B1,0.587
ABCC1,STAT3,0.402
ABCC1,TP53,0.492
ABCC1,UGT1A1,0.526
ABCC1,SLC19A1,0.493
ABCC1,TYMS,0.469
ABCC1,GSTP1,0.493
ABCC1,DHFR,0.444
ABCC1,PROM1,0.472
ABCC1,AKT1,0.533
ABCC1,ABCG2,0.971
ABCC4,SLCO1B1,0.722
ABCC4,NUDT15,0.492
ABCC4,UGT1A1,0.529
ABCC4,SLC19A1,0.478
ABCC4,TPMT,0.551
ABCC4,NQO1,0.42
ABCC4,GATA2,0.429
ABCC4,TAP1,0.438
ABCC4,TAP2,0.478
ABCC4,ABCG2,0.632
ABCG2,ERCC1,0.446
ABCG2,CYP3A5,0.681
ABCG2,NFKB1,0.402
ABCG2,HSPB1,0.446
ABCG2,KRAS,0.447
ABCG2,SLCO1B1,0.886
ABCG2,STAT3,0.659
ABCG2,TP53,0.615
ABCG2,THY1,0.523
ABCG2,KIT,0.615
ABCG2,HPRT1,0.535
ABCG2,UGT1A1,0.683
ABCG2,SLC19A1,0.492
ABCG2,CD34,0.553
ABCG2,TYMS,0.478
ABCG2,MET,0.492
ABCG2,EZH2,0.433
ABCG2,PTEN,0.514
ABCG2,MMP9,0.438
ABCG2,ABL1,0.488
ABCG2,CYP1A1,0.568
ABCG2,GSTP1,0.608
ABCG2,IL6,0.435
ABCG2,CXCR4,0.511
ABCG2,DHFR,0.433
ABCG2,BRAF,0.419
ABCG2,PROM1,0.787
ABCG2,CYP2E1,0.451
ABCG2,AKT1,0.619
ABCG2,EPHX1,0.45
ABCG2,NOTCH1,0.533
ABL1,APEX1,0.451
ABL1,MPO,0.485
ABL1,NFKB1,0.49
ABL1,IL2,0.418
ABL1,CDKN1B,0.746
ABL1,FLT3,0.495
ABL1,KRAS,0.703
ABL1,MDM2,0.896
ABL1,BLK,0.429
ABL1,CCND2,0.71
ABL1,CD33,0.631
ABL1,CREBBP,0.578
ABL1,TCF3,0.834
ABL1,EP300,0.673
ABL1,CBL,0.996
ABL1,STAT3,0.664
ABL1,MECOM,0.475
ABL1,DNMT3A,0.591
ABL1,NBN,0.548
ABL1,RB1,0.98
ABL1,TP53,0.909
ABL1,CDKN2B,0.463
ABL1,ATM,0.988
ABL1,FLT1,0.459
ABL1,KIT,0.664
ABL1,STAT5B,0.983
ABL1,TLX3,0.739
ABL1,NPM1,0.704
ABL1,RUNX1,0.871
ABL1,BCR,0.996
ABL1,OGG1,0.514
ABL1,MLLT10,0.496
ABL1,TERT,0.603
ABL1,CD34,0.783
ABL1,NUP98,0.676
ABL1,EZH2,0.606
ABL1,IL3RA,0.418
ABL1,IKZF1,0.845
